kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
K03404.01,Kepler-1489 b,CONFIRMED,82.294751,1.80E-03,-1.80E-03,0.085,0.3564,-0.0849,7.009,0.617,-0.617,3.83E+02,3.90E+01,-3.90E+01,0.017971,9.97E-04,-1.17E-03,2.10459,0.26617,-1.17327,1.67,7.20E-01,-1.40E-01,0.3579,,,408,,,6.56,8.36,-1.62,91,11.5,-11.5,11.3,1,6004,158,-164,4.534,0.038,-0.302,-0.48,0.3,-0.28,0.85,0.367,-0.07,0.901,0.109,-0.094
K03407.01,Kepler-1490 b,CONFIRMED,92.4362973,9.04E-04,-9.04E-04,0.9096,0.0338,-0.6314,5.709,0.201,-0.201,8.30E+02,5.15E+01,-5.15E+01,0.031784,2.60E-05,-6.10E-03,0.48412,5.47466,-0.24414,2.59,1.03E+00,-1.80E-01,0.3726,,,349,,,3.51,4.32,-0.79,60.2,29.6,-29.6,17.2,1,5598,180,-153,4.6,0.031,-0.231,-0.48,0.36,-0.28,0.745,0.299,-0.052,0.806,0.105,-0.075
K03410.01,Kepler-1491 b,CONFIRMED,16.5861762,2.21E-04,-2.21E-04,0.2568,0.2087,-0.2567,6.899,0.287,-0.287,2.31E+02,1.99E+01,-1.99E+01,0.013921,8.79E-04,-6.41E-04,0.4027,0.07339,-0.15695,1.39,5.40E-01,-1.10E-01,0.1278,,,695,,,55.08,62.86,-14.24,18.02,3.3,-3.3,14.4,2,5880,164,-186,4.518,0.033,-0.281,-0.06,0.22,-0.28,0.917,0.353,-0.075,1.01,0.113,-0.121
K03412.01,Kepler-1492 b,CONFIRMED,16.75255007,6.46E-05,-6.46E-05,0.7096,0.018,-0.5614,3.184,0.105,-0.105,3.65E+02,1.57E+01,-1.57E+01,0.018741,3.53E-03,-1.90E-03,1.71211,2.82157,-0.06985,3.69,2.87E+00,-2.11E+00,0.1262,,,801,,,97.43,243.7,-81.03,29.4,12.1,-12.1,26.1,1,4807,122,-97,3.906,0.662,-0.426,0.48,0.08,-0.26,1.802,1.405,-1.032,0.955,0.221,-0.166
K03415.01,Kepler-1493 b,CONFIRMED,15.0217983,1.08E-04,-1.08E-04,0.0973,0.3549,-0.0972,4.557,0.175,-0.175,1.11E+02,7.00E+00,-7.00E+00,0.009607,4.04E-04,-3.73E-04,1.35936,0.13926,-0.5178,0.84,5.60E-01,-1.10E-01,0.1066,,,677,,,49.75,107.58,-15.32,25.31,2.6,-2.6,18.9,1,5619,178,-150,4.49,0.107,-0.438,-0.7,0.36,-0.28,0.796,0.534,-0.097,0.713,0.133,-0.036
K03417.01,Kepler-1494 b,CONFIRMED,91.080482,1.77E-03,-1.77E-03,0.8866,0.0463,-0.6066,9.65,0.396,-0.396,7.99E+02,4.66E+01,-4.66E+01,0.030375,1.36E-03,-5.08E-03,0.12381,0.91971,-0.06039,3.34,1.39E+00,-3.60E-01,0.3982,,,415,,,7.02,8.78,-2.2,37.9,18.8,-18.8,19.1,1,5915,178,-208,4.437,0.067,-0.283,-0.02,0.22,-0.3,1.008,0.417,-0.111,1.014,0.168,-0.119
K03418.01,Kepler-1495 b,CONFIRMED,85.273256,1.95E-03,-1.95E-03,0.3751,0.0937,-0.3751,9.462,0.493,-0.493,7.92E+02,5.22E+01,-5.22E+01,0.026079,9.04E-04,-1.36E-03,0.73979,0.2753,-0.20623,3.01,1.03E+00,-4.80E-01,0.3677,,,443,,,9.1,9.26,-3.39,65.8,24.5,-24.5,19,1,5922,172,-170,4.349,0.136,-0.234,-0.28,0.3,-0.28,1.057,0.361,-0.169,0.911,0.136,-0.086
K03428.01,Kepler-1496 b,CONFIRMED,64.6588017,7.80E-04,-7.80E-04,0.1325,0.3015,-0.1323,7.549,0.282,-0.282,2.97E+02,2.22E+01,-2.22E+01,0.015849,8.96E-04,-5.61E-04,1.29556,0.20996,-0.42298,1.79,8.90E-01,-1.50E-01,0.3255,,,487,,,13.34,20.31,-3.67,65.9,10.7,-10.7,13.8,1,6197,182,-213,4.449,0.044,-0.314,-0.08,0.22,-0.28,1.035,0.516,-0.09,1.096,0.24,-0.125
K03429.02,Kepler-1497 b,CONFIRMED,8.74199772,8.62E-05,-8.62E-05,0.0965,0.3653,-0.0965,4.297,0.171,-0.171,2.91E+02,1.82E+01,-1.82E+01,0.015542,6.34E-04,-7.19E-04,0.96224,0.11792,-0.3728,1.69,6.90E-01,-1.80E-01,0.0832,,,898,,,153.72,190.25,-47.66,15.72,1.9,-1.9,17.4,2,5878,181,-202,4.442,0.066,-0.281,-0.02,0.23,-0.28,0.998,0.407,-0.109,1.003,0.152,-0.114
K03432.01,Kepler-1498 b,CONFIRMED,48.051405,9.33E-04,-9.33E-04,0.147,0.3033,-0.147,7.638,0.408,-0.408,2.80E+02,2.17E+01,-2.17E+01,0.015046,8.01E-04,-7.24E-04,0.92157,0.08542,-0.43988,1.46,5.60E-01,-1.60E-01,0.2432,,,452,,,9.86,11.68,-2.84,48.27,4.5,-4.5,15.3,1,5359,175,-140,4.459,0.09,-0.259,-0.04,0.3,-0.26,0.889,0.343,-0.098,0.828,0.119,-0.066
